"symbol","date","open","high","close","volume","adj","Name","LastSale","MarketCap","IPOyear","Sector","Industry","Exchange"
"ADTN",2017-07-03,20.75,20.8,20.799999,122600,20.799999,"ADTRAN, Inc.",20.4,"$985.8M",1994,"Public Utilities","Telecommunications Equipment","NASDAQ"
"ADTN",2017-07-05,20.75,20.85,20.65,331900,20.65,"ADTRAN, Inc.",20.4,"$985.8M",1994,"Public Utilities","Telecommunications Equipment","NASDAQ"
"ADTN",2017-07-06,20.5,20.55,20.049999,226000,20.049999,"ADTRAN, Inc.",20.4,"$985.8M",1994,"Public Utilities","Telecommunications Equipment","NASDAQ"
"ADTN",2017-07-07,20.05,20.5,20.5,152600,20.5,"ADTRAN, Inc.",20.4,"$985.8M",1994,"Public Utilities","Telecommunications Equipment","NASDAQ"
"ADTN",2017-07-10,20.4,20.7,20.549999,249700,20.549999,"ADTRAN, Inc.",20.4,"$985.8M",1994,"Public Utilities","Telecommunications Equipment","NASDAQ"
"ADTN",2017-07-11,20.5,20.53,20.4,136300,20.4,"ADTRAN, Inc.",20.4,"$985.8M",1994,"Public Utilities","Telecommunications Equipment","NASDAQ"
"ADTN",2017-07-12,20.55,20.85,20.75,215000,20.75,"ADTRAN, Inc.",20.4,"$985.8M",1994,"Public Utilities","Telecommunications Equipment","NASDAQ"
"ADTN",2017-07-13,20.8,20.8,20.25,208500,20.25,"ADTRAN, Inc.",20.4,"$985.8M",1994,"Public Utilities","Telecommunications Equipment","NASDAQ"
"ADTN",2017-07-14,20.3,20.43,20.4,149900,20.4,"ADTRAN, Inc.",20.4,"$985.8M",1994,"Public Utilities","Telecommunications Equipment","NASDAQ"
"AINC",2017-07-03,50.98,50.98,50.98,0,50.98,"Ashford Inc.",50,"$100.85M",2014,"Consumer Services","Professional Services","AMEX"
"AINC",2017-07-05,52.39,52.39,50,8600,50,"Ashford Inc.",50,"$100.85M",2014,"Consumer Services","Professional Services","AMEX"
"AINC",2017-07-06,49.9,50.365,50.365002,200,50.365002,"Ashford Inc.",50,"$100.85M",2014,"Consumer Services","Professional Services","AMEX"
"AINC",2017-07-07,50,50,49.84,800,49.84,"Ashford Inc.",50,"$100.85M",2014,"Consumer Services","Professional Services","AMEX"
"AINC",2017-07-10,49,49.03,49.029999,700,49.029999,"Ashford Inc.",50,"$100.85M",2014,"Consumer Services","Professional Services","AMEX"
"AINC",2017-07-11,49.03,49.03,49.029999,400,49.029999,"Ashford Inc.",50,"$100.85M",2014,"Consumer Services","Professional Services","AMEX"
"AINC",2017-07-12,50.55,50.55,49.09,1000,49.09,"Ashford Inc.",50,"$100.85M",2014,"Consumer Services","Professional Services","AMEX"
"AINC",2017-07-13,48.55,48.55,48.5,600,48.5,"Ashford Inc.",50,"$100.85M",2014,"Consumer Services","Professional Services","AMEX"
"AINC",2017-07-14,50,50,50,300,50,"Ashford Inc.",50,"$100.85M",2014,"Consumer Services","Professional Services","AMEX"
"AOS",2017-07-03,56.64,57.1,56.549999,284300,56.549999,"Smith (A.O.) Corporation",57.44,"$9.94B",NA,"Consumer Durables","Consumer Electronics/Appliances","NYSE"
"AOS",2017-07-05,56.67,57.33,57.200001,744900,57.200001,"Smith (A.O.) Corporation",57.44,"$9.94B",NA,"Consumer Durables","Consumer Electronics/Appliances","NYSE"
"AOS",2017-07-06,56.97,57.29,56.580002,1091500,56.580002,"Smith (A.O.) Corporation",57.44,"$9.94B",NA,"Consumer Durables","Consumer Electronics/Appliances","NYSE"
"AOS",2017-07-07,56.65,57.54,57.25,408900,57.25,"Smith (A.O.) Corporation",57.44,"$9.94B",NA,"Consumer Durables","Consumer Electronics/Appliances","NYSE"
"AOS",2017-07-10,57.1,57.61,57.200001,465700,57.200001,"Smith (A.O.) Corporation",57.44,"$9.94B",NA,"Consumer Durables","Consumer Electronics/Appliances","NYSE"
"AOS",2017-07-11,57.26,57.35,57.139999,448200,57.139999,"Smith (A.O.) Corporation",57.44,"$9.94B",NA,"Consumer Durables","Consumer Electronics/Appliances","NYSE"
"AOS",2017-07-12,57.56,57.97,57.470001,500300,57.470001,"Smith (A.O.) Corporation",57.44,"$9.94B",NA,"Consumer Durables","Consumer Electronics/Appliances","NYSE"
"AOS",2017-07-13,57.63,57.71,57.48,418500,57.48,"Smith (A.O.) Corporation",57.44,"$9.94B",NA,"Consumer Durables","Consumer Electronics/Appliances","NYSE"
"AOS",2017-07-14,57.59,57.75,57.439999,596300,57.439999,"Smith (A.O.) Corporation",57.44,"$9.94B",NA,"Consumer Durables","Consumer Electronics/Appliances","NYSE"
"ARMK",2017-07-03,41.16,41.18,41.07,400300,41.07,"Aramark",40.39,"$9.86B",2013,"Consumer Services","Restaurants","NYSE"
"ARMK",2017-07-05,41.12,41.18,40.93,1141200,40.93,"Aramark",40.39,"$9.86B",2013,"Consumer Services","Restaurants","NYSE"
"ARMK",2017-07-06,40.5,40.62,39.880001,1717200,39.880001,"Aramark",40.39,"$9.86B",2013,"Consumer Services","Restaurants","NYSE"
