"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","Industry","Exchange"
"AINC","Ashford Inc.",50,"$100.85M",2014,"Consumer Services","Professional Services","AMEX"
"CCF","Chase Corporation",108.85,"$1.02B",NA,"Consumer Durables","Building Products","AMEX"
"ADTN","ADTRAN, Inc.",20.4,"$985.8M",1994,"Public Utilities","Telecommunications Equipment","NASDAQ"
"AVGO","Broadcom Limited",250.29,"$101.77B",2009,"Technology","Semiconductors","NASDAQ"
"AVNW","Aviat Networks, Inc.",18.06,"$96M",NA,"Technology","Radio And Television Broadcasting And Communications Equipment","NASDAQ"
"CDW","CDW Corporation",63.56,"$9.98B",2013,"Consumer Services","Catalog/Specialty Distribution","NASDAQ"
"CEVA","CEVA, Inc.",46.45,"$1B",NA,"Technology","Semiconductors","NASDAQ"
"CGNT","Cogentix Medical, Inc.",1.6878,"$102M",NA,"Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","NASDAQ"
"CNSL","Consolidated Communications Holdings, Inc.",17.96,"$911.17M",2005,"Public Utilities","Telecommunications Equipment","NASDAQ"
"COVS","Covisint Corporation",2.45,"$100.17M",2013,"Technology","EDP Services","NASDAQ"
"CPAH","CounterPath Corporation",2.23,"$11.15M",NA,"Technology","Computer Software: Prepackaged Software","NASDAQ"
"CPLA","Capella Education Company",86.5,"$1B",2006,"Consumer Services","Other Consumer Services","NASDAQ"
"DGRS","WisdomTree U.S. SmallCap Quality Dividend Growth Fund",33.385,"$100.16M",NA,NA,NA,"NASDAQ"
"DISCK","Discovery Communications, Inc.",25.55,"$9.83B",NA,"Consumer Services","Television Services","NASDAQ"
"FTSM","First Trust Enhanced Short Maturity ETF",60.03,"$996.48M",NA,NA,NA,"NASDAQ"
"FWP","Forward Pharma A/S",20.91,"$986.62M",2014,"Health Care","Major Pharmaceuticals","NASDAQ"
"LGCYP","Legacy Reserves LP",5.3,"$10.6M",NA,"Energy","Oil & Gas Production","NASDAQ"
"LKQ","LKQ Corporation",32.54,"$10.03B",NA,"Consumer Services","Motor Vehicles","NASDAQ"
"MSBF","MSB Financial Corp.",17.5,"$100.26M",NA,"Finance","Savings Institutions","NASDAQ"
"MZOR","Mazor Robotics Ltd.",41.79,"$1B",NA,"Health Care","Medical/Dental Instruments","NASDAQ"
"NSYS","Nortech Systems Incorporated",3.51,"$9.64M",NA,"Capital Goods","Industrial Machinery/Components","NASDAQ"
"ORIG","Ocean Rig UDW Inc.",0.1998,"$16.5M",NA,"Energy","Oil & Gas Production","NASDAQ"
"ORPN","Bioblast Pharma Ltd.",0.66,"$10.82M",2014,"Health Care","Major Pharmaceuticals","NASDAQ"
"QQXT","First Trust NASDAQ-100 Ex-Technology Sector Index Fund",46.6817,"$100.37M",NA,NA,NA,"NASDAQ"
"SNFCA","Security National Financial Corporation",6.4,"$101.28M",NA,"Finance","Finance: Consumer Services","NASDAQ"
"SPTN","SpartanNash Company",26.04,"$985.48M",NA,"Consumer Non-Durables","Food Distributors","NASDAQ"
"TCPC","TCP Capital Corp.",16.81,"$988.29M",2012,NA,NA,"NASDAQ"
"TRS","TriMas Corporation",22.05,"$1.01B",2007,"Capital Goods","Industrial Specialties","NASDAQ"
"VRSN","VeriSign, Inc.",96.92,"$9.84B",1998,"Technology","EDP Services","NASDAQ"
"YDIV","First Trust International Multi-Asset Diversified Income Index",18.42,"$10.13M",NA,NA,NA,"NASDAQ"
"AOS","Smith (A.O.) Corporation",57.44,"$9.94B",NA,"Consumer Durables","Consumer Electronics/Appliances","NYSE"
"ARMK","Aramark",40.39,"$9.86B",2013,"Consumer Services","Restaurants","NYSE"
"ATH","Athene Holding Ltd.",49.77,"$9.97B",2016,"Finance","Life Insurance","NYSE"
"BXC","BlueLinx Holdings Inc.",10.7,"$97.05M",2004,"Capital Goods","Wholesale Distributors","NYSE"
"CPAC","Cementos Pacasmayo S.A.A.",11.54,"$988.07M",NA,"Capital Goods","Building Materials","NYSE"
"DPLO","Diplomat Pharmacy, Inc.",15.16,"$1.02B",2014,"Health Care","Medical/Nursing Services","NYSE"
"ETV","Eaton Vance Corporation",15.5,"$991.46M",2005,NA,NA,"NYSE"
"FMC","FMC Corporation",76.49,"$10.25B",NA,"Basic Industries","Major Chemicals","NYSE"
"FRO","Frontline Ltd.",6.19,"$1.05B",NA,"Transportation","Marine Transportation","NYSE"
"HCC","Warrior Met Coal, Inc.",18.77,"$1B",2017,"Energy","Coal Mining","NYSE"
"IHG","Intercontinental Hotels Group",56.09,"$10.2B",NA,"Consumer Services","Hotels/Resorts","NYSE"
"MMI","Marcus & Millichap, Inc.",27.01,"$1.03B",2013,"Finance","Real Estate","NYSE"
"MRO","Marathon Oil Corporation",11.65,"$9.9B",NA,"Energy","Oil & Gas Production","NYSE"
"MTL","Mechel PAO",4.84,"$1.01B",2004,"Basic Industries","Steel/Iron Ore","NYSE"
"MYI","Blackrock MuniYield Quality Fund III, Inc.",14.48,"$985.34M",NA,NA,NA,"NYSE"
"NMI","Nuveen Municipal Income Fund, Inc.",11.81,"$98.47M",1988,NA,NA,"NYSE"
"OXM","Oxford Industries, Inc.",59.92,"$1.01B",NA,"Consumer Non-Durables","Apparel","NYSE"
"RGT","Royce Global Value Trust, Inc.",9.7199,"$101.24M",2013,NA,NA,"NYSE"
"SAN","Banco Santander, S.A.",6.76,"$100.22B",NA,"Finance","Commercial Banks","NYSE"
"UTX","United Technologies Corporation",123.41,"$98.88B",NA,"Capital Goods","Aerospace","NYSE"
