"date","symbol","open","high","close","volume","adj"
2017-07-03,"IHG",55.17,55.35,55.07,77500,55.07
2017-07-05,"IHG",55.26,55.36,55.34,85100,55.34
2017-07-06,"IHG",54.75,55.22,54.959999,70600,54.959999
2017-07-07,"IHG",54.78,55.11,55.040001,60800,55.040001
2017-07-10,"IHG",55.19,55.45,55.330002,66300,55.330002
2017-07-11,"IHG",54.32,54.5,54.43,128200,54.43
2017-07-12,"IHG",55.23,55.71,55.490002,119500,55.490002
2017-07-13,"IHG",55.69,55.81,55.650002,66100,55.650002
2017-07-14,"IHG",55.74,56.14,56.09,85400,56.09
2017-07-03,"MZOR",35,35,34.110001,91900,34.110001
2017-07-05,"MZOR",34.27,36.11,35.790001,262100,35.790001
2017-07-06,"MZOR",38.26,39.81,38.279999,1087300,38.279999
2017-07-07,"MZOR",38.87,38.91,38.810001,447000,38.810001
2017-07-10,"MZOR",39.32,41.11,40.880001,564400,40.880001
2017-07-11,"MZOR",40.88,41.8,41.580002,471700,41.580002
2017-07-12,"MZOR",41.72,42.49,41.689999,315400,41.689999
2017-07-13,"MZOR",41.21,41.9,41.099998,164600,41.099998
2017-07-14,"MZOR",41.3,42.28,41.790001,231400,41.790001
2017-07-03,"DPLO",14.83,15.16,15.05,783500,15.05
2017-07-05,"DPLO",15.05,15.05,14.81,455500,14.81
2017-07-06,"DPLO",14.73,14.78,14.43,676100,14.43
2017-07-07,"DPLO",14.5,14.61,14.51,380900,14.51
2017-07-10,"DPLO",14.45,14.92,14.85,692400,14.85
2017-07-11,"DPLO",14.86,15.03,14.87,548100,14.87
2017-07-12,"DPLO",14.92,15.325,15.12,598000,15.12
2017-07-13,"DPLO",15.19,15.22,15.14,391600,15.14
2017-07-14,"DPLO",15.19,15.45,15.16,498800,15.16
2017-07-03,"LGCYP",6.36,6.522,6.29,2100,6.29
2017-07-05,"LGCYP",6.29,6.517,6.25,1000,6.25
2017-07-06,"LGCYP",6.35,6.35,6.01,1700,6.01
2017-07-07,"LGCYP",5.8,5.8,5.72,13600,5.72
2017-07-10,"LGCYP",5.72,6.5,5.49,26200,5.49
2017-07-11,"LGCYP",5.77,5.77,4.99,32800,4.99
2017-07-12,"LGCYP",5.36,5.68,5.51,54100,5.51
2017-07-13,"LGCYP",5.52,5.52,5.5,13800,5.5
2017-07-14,"LGCYP",5.5,5.53,5.3,15500,5.3
2017-07-03,"SNFCA",6.3,6.3,6.28,4100,6.28
2017-07-05,"SNFCA",6.2,6.25,6.25,24900,6.25
2017-07-06,"SNFCA",6.25,6.25,6.25,700,6.25
2017-07-07,"SNFCA",6.2,6.3,6.3,8000,6.3
2017-07-10,"SNFCA",6.26,6.4,6.4,22300,6.4
2017-07-11,"SNFCA",6.3,6.55,6.3,9400,6.3
2017-07-12,"SNFCA",6.48,6.48,6.42,2100,6.42
2017-07-13,"SNFCA",6.46,6.5,6.4,4100,6.4
2017-07-14,"SNFCA",6.3,6.51,6.4,6500,6.4
2017-07-03,"YDIV",18.05,18.08,18.08,900,18.08
2017-07-05,"YDIV",18.01,18.05,17.950001,3700,17.950001
2017-07-06,"YDIV",18,18.05,18.049999,2900,18.049999
2017-07-07,"YDIV",17.75,17.96,17.91,1900,17.91
2017-07-10,"YDIV",17.69,18.07,18.07,1200,18.07
2017-07-11,"YDIV",18.03,18.1,18.1,3500,18.1
2017-07-12,"YDIV",18.1,18.1,18.1,0,18.1
2017-07-13,"YDIV",18.28,18.3,18.299999,500,18.299999
2017-07-14,"YDIV",18.42,18.42,18.42,200,18.42
2017-07-03,"MTL",4.65,4.74,4.72,53000,4.72
2017-07-05,"MTL",4.79,4.94,4.94,204100,4.94
2017-07-06,"MTL",4.79,4.85,4.78,53500,4.78
2017-07-07,"MTL",4.72,4.72,4.64,72800,4.64
2017-07-10,"MTL",4.71,4.8,4.77,98200,4.77
2017-07-11,"MTL",4.66,4.8,4.79,59000,4.79
2017-07-12,"MTL",4.88,5.02,5.02,192600,5.02
2017-07-13,"MTL",4.86,5,5,134700,5
2017-07-14,"MTL",4.87,4.88,4.84,93900,4.84
2017-07-03,"FMC",73.62,73.83,73.57,551600,73.57
2017-07-05,"FMC",73.65,73.96,73.550003,922100,73.550003
2017-07-06,"FMC",73.23,73.9,73.599998,742700,73.599998
2017-07-07,"FMC",73.84,74.93,74.589996,682500,74.589996
2017-07-10,"FMC",74.35,76.48,75.870003,1052700,75.870003
2017-07-11,"FMC",75.56,75.59,74.230003,1308100,74.230003
2017-07-12,"FMC",74.97,75.66,75.529999,793100,75.529999
2017-07-13,"FMC",75.9,77.05,76.830002,1402200,76.830002
2017-07-14,"FMC",76.99,77.22,76.489998,864200,76.489998
2017-07-03,"RGT",9.6,9.65,9.64,12900,9.64
2017-07-05,"RGT",9.62,9.7,9.63,17300,9.63
2017-07-06,"RGT",9.55,9.65,9.59,23900,9.59
2017-07-07,"RGT",9.63,9.63,9.61,5000,9.61
2017-07-10,"RGT",9.6,9.63,9.58,33900,9.58
2017-07-11,"RGT",9.56,9.6,9.56,19300,9.56
2017-07-12,"RGT",9.59,9.69,9.65,24200,9.65
2017-07-13,"RGT",9.65,9.68,9.65,9900,9.65
2017-07-14,"RGT",9.67,9.73,9.72,18300,9.72
2017-07-03,"DGRS",33.42,33.63,33.509998,5100,33.509998
2017-07-05,"DGRS",33.6,33.6,33.220001,4700,33.220001
2017-07-06,"DGRS",33.06,33.25,33.040001,20900,33.040001
2017-07-07,"DGRS",33.11,33.36,33.360001,8300,33.360001
2017-07-10,"DGRS",33.21,33.41,33.189999,22600,33.189999
2017-07-11,"DGRS",33.1,33.17,33.16,8200,33.16
2017-07-12,"DGRS",33.41,33.59,33.34,10700,33.34
2017-07-13,"DGRS",33.23,33.31,33.240002,7600,33.240002
2017-07-14,"DGRS",33.33,33.48,33.389999,13200,33.389999
2017-07-03,"OXM",62.464,63.36,63.041016,95300,63.330002
2017-07-05,"OXM",62.792,64.146,61.418453,181300,61.700001
2017-07-06,"OXM",60.961,61.269,59.328033,116300,59.599998
2017-07-07,"OXM",59.647,60.164,59.756073,174000,60.029999
2017-07-10,"OXM",59.507,59.885,59.616711,136400,59.889999
2017-07-11,"OXM",59.537,60.035,58.899998,98500,59.169998
2017-07-12,"OXM",59.54,60,59.48,68200,59.48
2017-07-13,"OXM",59.61,60.37,60.25,117800,60.25
2017-07-14,"OXM",60.24,60.94,59.919998,130900,59.919998
2017-07-03,"CDW",62.55,63.6,62.759998,340900,62.759998
2017-07-05,"CDW",62.83,63.42,62.990002,773600,62.990002
2017-07-06,"CDW",62.42,62.6,61.23,1284100,61.23
2017-07-07,"CDW",61.38,62.5,62.360001,1088400,62.360001
2017-07-10,"CDW",62.3,62.85,62.630001,717500,62.630001
2017-07-11,"CDW",62.4,63.43,63.23,718500,63.23
2017-07-12,"CDW",63.2,64,63.450001,530400,63.450001
2017-07-13,"CDW",63.54,63.99,63.349998,664900,63.349998
2017-07-14,"CDW",63.34,63.77,63.560001,951700,63.560001
2017-07-03,"CCF",109.4,109.4,107,8500,107
2017-07-05,"CCF",108.15,108.15,106,21700,106
2017-07-06,"CCF",105.45,106.15,104.849998,28900,104.849998
2017-07-07,"CCF",105.9,106.5,105.650002,24000,105.650002
2017-07-10,"CCF",106.65,109.15,106.849998,36900,106.849998
2017-07-11,"CCF",106.4,108.95,106.25,25600,106.25
2017-07-12,"CCF",107,110.5,110.050003,37600,110.050003
2017-07-13,"CCF",110.7,110.7,109.650002,22300,109.650002
2017-07-14,"CCF",108.75,110.06,108.849998,19000,108.849998
2017-07-03,"FTSM",60,60,60,52000,60
2017-07-05,"FTSM",59.98,60.02,60.009998,124300,60.009998
2017-07-06,"FTSM",60.04,60.04,60.005001,136500,60.005001
2017-07-07,"FTSM",60.031,60.04,60.02,226700,60.02
2017-07-10,"FTSM",60.03,60.04,60.040001,119700,60.040001
2017-07-11,"FTSM",60.02,60.03,60.029999,83000,60.029999
2017-07-12,"FTSM",60.02,60.04,60.040001,193500,60.040001
2017-07-13,"FTSM",60.04,60.045,60.02,99600,60.02
2017-07-14,"FTSM",60.03,60.04,60.029999,138500,60.029999
2017-07-03,"HCC",17.17,17.47,17.32,72800,17.32
2017-07-05,"HCC",25.37,25.38,25.370001,12500,25.370001
2017-07-06,"HCC",25.32,25.34,25.34,17600,25.34
2017-07-07,"HCC",17.72,17.73,17.66,155000,17.66
2017-07-10,"HCC",17.56,18,17.93,250900,17.93
2017-07-11,"HCC",18.1,18.63,18.58,330800,18.58
2017-07-12,"HCC",18.75,19.06,18.82,308900,18.82
2017-07-13,"HCC",18.73,18.925,18.75,163900,18.75
2017-07-14,"HCC",18.65,18.92,18.77,109900,18.77
2017-07-03,"CPAH",2,2,2,0,2
2017-07-05,"CPAH",2,2,2,0,2
2017-07-06,"CPAH",2,2,2,0,2
2017-07-07,"CPAH",2,2.04,2,3200,2
2017-07-10,"CPAH",2,2,2,0,2
2017-07-11,"CPAH",1.86,1.99,1.99,1600,1.99
2017-07-12,"CPAH",2.06,2.24,2.22,4300,2.22
2017-07-13,"CPAH",2.2,2.28,2.2,7400,2.2
2017-07-14,"CPAH",2.25,2.3,2.23,2400,2.23
2017-07-03,"ORIG",0.15,0.16,0.15,328000,0.15
2017-07-05,"ORIG",0.16,0.16,0.15,227000,0.15
2017-07-06,"ORIG",0.15,0.16,0.15,170000,0.15
2017-07-07,"ORIG",0.15,0.16,0.14,703100,0.14
2017-07-10,"ORIG",0.14,0.14,0.12,1243000,0.12
2017-07-11,"ORIG",0.13,0.14,0.12,869500,0.12
2017-07-12,"ORIG",0.13,0.13,0.12,411600,0.12
2017-07-13,"ORIG",0.13,0.13,0.12,463500,0.12
2017-07-14,"ORIG",0.12,0.24,0.2,8242400,0.2
2017-07-03,"TRS",20.95,21.55,20.85,121800,20.85
2017-07-05,"TRS",20.85,20.85,20.549999,247500,20.549999
2017-07-06,"TRS",20.35,20.9,20.799999,234800,20.799999
