symbol,last_date
IHG,2017-07-14
SPTN,2017-07-14
SAN,2017-07-14
FWP,2017-07-14
BXC,2017-07-14
FRO,2017-07-14
ADTN,2017-07-14
MZOR,2017-07-14
YDIV,2017-07-14
DGRS,2017-07-14
AOS,2017-07-14
ORPN,2017-07-14
CPLA,2017-07-14
ATH,2017-07-14
LGCYP,2017-07-14
QQXT,2017-07-14
AVNW,2017-07-14
ETV,2017-07-14
VRSN,2017-07-14
NMI,2017-07-14
MRO,2017-07-14
ORIG,2017-07-14
AINC,2017-07-14
COVS,2017-07-14
AVGO,2017-07-14
RGT,2017-07-14
CCF,2017-07-14
UTX,2017-07-14
SNFCA,2017-07-14
CDW,2017-07-14
NSYS,2017-07-14
MMI,2017-07-14
MTL,2017-07-14
TCPC,2017-07-14
DPLO,2017-07-14
TRS,2017-07-14
CEVA,2017-07-14
FTSM,2017-07-14
HCC,2017-07-14
OXM,2017-07-14
MSBF,2017-07-14
CNSL,2017-07-14
MYI,2017-07-14
LKQ,2017-07-14
FMC,2017-07-14
CPAC,2017-07-14
CPAH,2017-07-14
DISCK,2017-07-14
ARMK,2017-07-14
CGNT,2017-07-14
