"date","ticker","open","high","close","volume","adj"
2017-07-05,"IHG",55.26,55.36,55.34,85100,55.34
2017-07-06,"IHG",54.75,55.22,54.959999,70600,54.959999
2017-07-07,"IHG",54.78,55.11,55.040001,60800,55.040001
2017-07-10,"IHG",55.19,55.45,55.330002,66300,55.330002
2017-07-11,"IHG",54.32,54.5,54.43,128200,54.43
2017-07-05,"MZOR",34.27,36.11,35.790001,262100,35.790001
2017-07-06,"MZOR",38.26,39.81,38.279999,1087300,38.279999
2017-07-07,"MZOR",38.87,38.91,38.810001,447000,38.810001
2017-07-10,"MZOR",39.32,41.11,40.880001,564400,40.880001
2017-07-11,"MZOR",40.88,41.8,41.580002,471700,41.580002
2017-07-05,"DPLO",15.05,15.05,14.81,455500,14.81
2017-07-06,"DPLO",14.73,14.78,14.43,676100,14.43
2017-07-07,"DPLO",14.5,14.61,14.51,380900,14.51
2017-07-10,"DPLO",14.45,14.92,14.85,692400,14.85
2017-07-11,"DPLO",14.86,15.03,14.87,546000,14.87
2017-07-05,"LGCYP",6.29,6.517,6.25,1000,6.25
2017-07-06,"LGCYP",6.35,6.35,6.01,1700,6.01
2017-07-07,"LGCYP",5.8,5.8,5.72,13600,5.72
2017-07-10,"LGCYP",5.72,6.5,5.49,26200,5.49
2017-07-11,"LGCYP",5.77,5.77,4.99,32800,4.99
2017-07-05,"SNFCA",6.2,6.25,6.25,24900,6.25
2017-07-06,"SNFCA",6.25,6.25,6.25,700,6.25
2017-07-07,"SNFCA",6.2,6.3,6.3,8000,6.3
2017-07-10,"SNFCA",6.26,6.4,6.4,22300,6.4
2017-07-11,"SNFCA",6.3,6.55,6.3,9400,6.3
2017-07-05,"YDIV",18.01,18.05,17.950001,3700,17.950001
2017-07-06,"YDIV",18,18.05,18.049999,2900,18.049999
2017-07-07,"YDIV",17.75,17.96,17.91,1900,17.91
2017-07-10,"YDIV",17.69,18.07,18.07,1200,18.07
2017-07-11,"YDIV",18.03,18.1,18.1,3500,18.1
2017-07-05,"MTL",4.79,4.94,4.94,204100,4.94
2017-07-06,"MTL",4.79,4.85,4.78,53500,4.78
2017-07-07,"MTL",4.72,4.72,4.64,72800,4.64
2017-07-10,"MTL",4.71,4.8,4.77,98200,4.77
2017-07-11,"MTL",4.66,4.8,4.79,59000,4.79
2017-07-05,"FMC",73.65,73.96,73.550003,922100,73.550003
2017-07-06,"FMC",73.23,73.9,73.599998,742700,73.599998
2017-07-07,"FMC",73.84,74.93,74.589996,682500,74.589996
2017-07-10,"FMC",74.35,76.48,75.870003,1052700,75.870003
2017-07-11,"FMC",75.56,75.59,74.230003,1308100,74.230003
2017-07-05,"RGT",9.62,9.7,9.63,17300,9.63
2017-07-06,"RGT",9.55,9.65,9.59,23900,9.59
2017-07-07,"RGT",9.63,9.63,9.61,5000,9.61
2017-07-10,"RGT",9.6,9.63,9.58,33900,9.58
2017-07-11,"RGT",9.56,9.6,9.56,19300,9.56
2017-07-05,"DGRS",33.6,33.6,33.220001,4700,33.220001
2017-07-06,"DGRS",33.06,33.25,33.040001,20900,33.040001
2017-07-07,"DGRS",33.11,33.36,33.360001,8300,33.360001
2017-07-10,"DGRS",33.21,33.41,33.189999,22600,33.189999
2017-07-11,"DGRS",33.1,33.17,33.16,8200,33.16
2017-07-05,"OXM",63.08,64.44,61.700001,181300,61.700001
2017-07-06,"OXM",61.24,61.55,59.599998,116300,59.599998
2017-07-07,"OXM",59.92,60.44,60.029999,174000,60.029999
2017-07-10,"OXM",59.78,60.16,59.889999,136400,59.889999
2017-07-11,"OXM",59.81,60.31,59.169998,98500,59.169998
2017-07-05,"CDW",62.83,63.42,62.990002,773600,62.990002
2017-07-06,"CDW",62.42,62.6,61.23,1284100,61.23
2017-07-07,"CDW",61.38,62.5,62.360001,1088400,62.360001
2017-07-10,"CDW",62.3,62.85,62.630001,717500,62.630001
2017-07-11,"CDW",62.4,63.43,63.23,718500,63.23
2017-07-05,"CCF",108.15,108.15,106,21700,106
2017-07-06,"CCF",105.45,106.15,104.849998,28900,104.849998
2017-07-07,"CCF",105.9,106.5,105.650002,24000,105.650002
2017-07-10,"CCF",106.65,109.15,106.849998,36900,106.849998
2017-07-11,"CCF",106.4,108.95,106.25,25600,106.25
2017-07-05,"FTSM",59.98,60.02,60.009998,124300,60.009998
2017-07-06,"FTSM",60.04,60.04,60.005001,136500,60.005001
2017-07-07,"FTSM",60.031,60.04,60.02,226700,60.02
2017-07-10,"FTSM",60.03,60.04,60.040001,119700,60.040001
2017-07-11,"FTSM",60.02,60.03,60.029999,83000,60.029999
2017-07-05,"HCC",25.37,25.38,25.370001,12500,25.370001
2017-07-06,"HCC",25.32,25.34,25.34,17600,25.34
2017-07-07,"HCC",17.72,17.73,17.66,155000,17.66
2017-07-10,"HCC",17.56,18,17.93,250900,17.93
2017-07-11,"HCC",18.1,18.63,18.58,330800,18.58
2017-07-05,"CPAH",2,2,2,0,2
2017-07-06,"CPAH",2,2,2,0,2
2017-07-07,"CPAH",2,2.04,2,3200,2
2017-07-10,"CPAH",2,2,2,0,2
2017-07-11,"CPAH",1.86,1.99,1.99,1600,1.99
2017-07-05,"ORIG",0.16,0.16,0.15,227000,0.15
2017-07-06,"ORIG",0.15,0.16,0.15,170000,0.15
2017-07-07,"ORIG",0.15,0.16,0.14,703100,0.14
2017-07-10,"ORIG",0.14,0.14,0.12,1243000,0.12
2017-07-11,"ORIG",0.13,0.14,0.12,869500,0.12
2017-07-05,"TRS",20.85,20.85,20.549999,247500,20.549999
2017-07-06,"TRS",20.35,20.9,20.799999,234800,20.799999
2017-07-07,"TRS",20.85,21.2,21.15,130100,21.15
2017-07-10,"TRS",21.05,21.4,21.25,159400,21.25
2017-07-11,"TRS",21.25,21.8,21.700001,266400,21.700001
2017-07-05,"COVS",2.45,2.45,2.45,18300,2.45
2017-07-06,"COVS",2.45,2.45,2.425,21800,2.425
2017-07-07,"COVS",2.45,2.45,2.45,14700,2.45
2017-07-10,"COVS",2.4,2.45,2.45,121600,2.45
2017-07-11,"COVS",2.425,2.45,2.425,35500,2.425
2017-07-05,"DISCK",25.57,25.72,25.450001,1006500,25.450001
2017-07-06,"DISCK",25.3,25.37,25.08,866500,25.08
2017-07-07,"DISCK",25.15,25.27,25.15,630500,25.15
2017-07-10,"DISCK",25.13,25.54,25.469999,929800,25.469999
2017-07-11,"DISCK",25.48,25.54,25.48,1670800,25.48
2017-07-05,"AOS",56.67,57.33,57.200001,744900,57.200001
2017-07-06,"AOS",56.97,57.29,56.580002,1091500,56.580002
2017-07-07,"AOS",56.65,57.54,57.25,408900,57.25
2017-07-10,"AOS",57.1,57.61,57.200001,465700,57.200001
2017-07-11,"AOS",57.26,57.35,57.139999,448200,57.139999
2017-07-05,"MMI",26.69,26.98,26.75,71700,26.75
2017-07-06,"MMI",26.51,26.7,26.15,64000,26.15
2017-07-07,"MMI",26.35,26.71,26.299999,73000,26.299999
2017-07-10,"MMI",26.29,26.35,26,92900,26
2017-07-11,"MMI",25.99,26.2,26,160600,26
