"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","Industry","Exchange"
"AINC","Ashford Inc.",49.03,"$98.89M",2014,"Consumer Services","Professional Services","AMEX"
"CCF","Chase Corporation",106.25,"$993.53M",NA,"Consumer Durables","Building Products","AMEX"
"ADTN","ADTRAN, Inc.",20.4,"$985.8M",1994,"Public Utilities","Telecommunications Equipment","NASDAQ"
"AVGO","Broadcom Limited",240.89,"$97.94B",2009,"Technology","Semiconductors","NASDAQ"
"AVNW","Aviat Networks, Inc.",18.61,"$98.92M",NA,"Technology","Radio And Television Broadcasting And Communications Equipment","NASDAQ"
"CDW","CDW Corporation",63.23,"$9.93B",2013,"Consumer Services","Catalog/Specialty Distribution","NASDAQ"
"CEVA","CEVA, Inc.",45.5,"$980.67M",NA,"Technology","Semiconductors","NASDAQ"
"CGNT","Cogentix Medical, Inc.",1.62,"$97.9M",NA,"Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","NASDAQ"
"CNSL","Consolidated Communications Holdings, Inc.",19.33,"$980.67M",2005,"Public Utilities","Telecommunications Equipment","NASDAQ"
"COVS","Covisint Corporation",2.425,"$99.15M",2013,"Technology","EDP Services","NASDAQ"
"CPAH","CounterPath Corporation",1.985,"$9.92M",NA,"Technology","Computer Software: Prepackaged Software","NASDAQ"
"CPLA","Capella Education Company",85.1,"$986.21M",2006,"Consumer Services","Other Consumer Services","NASDAQ"
"DGRS","WisdomTree U.S. SmallCap Quality Dividend Growth Fund",33.16,"$99.48M",NA,NA,NA,"NASDAQ"
"DISCK","Discovery Communications, Inc.",25.48,"$9.8B",NA,"Consumer Services","Television Services","NASDAQ"
"FTSM","First Trust Enhanced Short Maturity ETF",60.03,"$993.48M",NA,NA,NA,"NASDAQ"
"FWP","Forward Pharma A/S",20.75,"$979.07M",2014,"Health Care","Major Pharmaceuticals","NASDAQ"
"LGCYP","Legacy Reserves LP",4.99,"$9.98M",NA,"Energy","Oil & Gas Production","NASDAQ"
"LKQ","LKQ Corporation",31.94,"$9.85B",NA,"Consumer Services","Motor Vehicles","NASDAQ"
"MSBF","MSB Financial Corp.",17.2,"$98.54M",NA,"Finance","Savings Institutions","NASDAQ"
"MZOR","Mazor Robotics Ltd.",41.58,"$999.85M",NA,"Health Care","Medical/Dental Instruments","NASDAQ"
"NSYS","Nortech Systems Incorporated",3.59,"$9.86M",NA,"Capital Goods","Industrial Machinery/Components","NASDAQ"
"ORIG","Ocean Rig UDW Inc.",0.12,"$9.91M",NA,"Energy","Oil & Gas Production","NASDAQ"
"ORPN","Bioblast Pharma Ltd.",0.597,"$9.79M",2014,"Health Care","Major Pharmaceuticals","NASDAQ"
"QQXT","First Trust NASDAQ-100 Ex-Technology Sector Index Fund",45.83,"$98.53M",NA,NA,NA,"NASDAQ"
"SNFCA","Security National Financial Corporation",6.3,"$99.7M",NA,"Finance","Finance: Consumer Services","NASDAQ"
"SPTN","SpartanNash Company",26.02,"$984.72M",NA,"Consumer Non-Durables","Food Distributors","NASDAQ"
"TCPC","TCP Capital Corp.",16.75,"$984.77M",2012,NA,NA,"NASDAQ"
"TRS","TriMas Corporation",21.7,"$991.97M",2007,"Capital Goods","Industrial Specialties","NASDAQ"
"VRSN","VeriSign, Inc.",95.61,"$9.7B",1998,"Technology","EDP Services","NASDAQ"
"YDIV","First Trust International Multi-Asset Diversified Income Index",18.1,"$9.96M",NA,NA,NA,"NASDAQ"
"AOS","Smith (A.O.) Corporation",57.14,"$9.89B",NA,"Consumer Durables","Consumer Electronics/Appliances","NYSE"
"ARMK","Aramark",39.72,"$9.7B",2013,"Consumer Services","Restaurants","NYSE"
"ATH","Athene Holding Ltd.",49.02,"$9.82B",2016,"Finance","Life Insurance","NYSE"
"BXC","BlueLinx Holdings Inc.",10.87,"$98.59M",2004,"Capital Goods","Wholesale Distributors","NYSE"
"CPAC","Cementos Pacasmayo S.A.A.",11.54,"$988.07M",NA,"Capital Goods","Building Materials","NYSE"
"DPLO","Diplomat Pharmacy, Inc.",14.87,"$999.23M",2014,"Health Care","Medical/Nursing Services","NYSE"
"ETV","Eaton Vance Corporation",15.4,"$985.07M",2005,NA,NA,"NYSE"
"FMC","FMC Corporation",74.23,"$9.95B",NA,"Basic Industries","Major Chemicals","NYSE"
"FRO","Frontline Ltd.",5.81,"$986.59M",NA,"Transportation","Marine Transportation","NYSE"
"HCC","Warrior Met Coal, Inc.",18.58,"$993.29M",2017,"Energy","Coal Mining","NYSE"
"IHG","Intercontinental Hotels Group",54.43,"$9.9B",NA,"Consumer Services","Hotels/Resorts","NYSE"
"MMI","Marcus & Millichap, Inc.",26,"$989.96M",2013,"Finance","Real Estate","NYSE"
"MRO","Marathon Oil Corporation",11.59,"$9.85B",NA,"Energy","Oil & Gas Production","NYSE"
"MTL","Mechel PAO",4.79,"$996.97M",2004,"Basic Industries","Steel/Iron Ore","NYSE"
"MYI","Blackrock MuniYield Quality Fund III, Inc.",14.48,"$985.34M",NA,NA,NA,"NYSE"
"NMI","Nuveen Municipal Income Fund, Inc.",11.83,"$98.63M",1988,NA,NA,"NYSE"
"OXM","Oxford Industries, Inc.",59.17,"$994.7M",NA,"Consumer Non-Durables","Apparel","NYSE"
"RGT","Royce Global Value Trust, Inc.",9.56,"$99.57M",2013,NA,NA,"NYSE"
"SAN","Banco Santander, S.A.",6.75,"$98.43B",NA,"Finance","Commercial Banks","NYSE"
"UTX","United Technologies Corporation",123.54,"$98.98B",NA,"Capital Goods","Aerospace","NYSE"
